CDU_ID,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : Total\ Car or van availability - Unit : Cars or vans,Car or van availability : Sum of all cars or vans - Unit : Cars or vans,avg car per household
19443,606,354,354,0.584158416
19444,501,867,867,1.730538922
19445,593,752,752,1.268128162
19446,516,976,976,1.891472868
19447,711,428,428,0.601969058
19448,546,832,832,1.523809524
19449,530,813,813,1.533962264
19450,683,781,781,1.143484627
19451,594,758,758,1.276094276
19452,610,582,582,0.954098361
19453,697,640,640,0.918220947
19454,896,651,651,0.7265625
19455,707,676,676,0.956152758
19456,685,947,947,1.382481752
19457,671,934,934,1.39195231
19458,863,922,922,1.068366165
19459,517,902,902,1.744680851
19460,648,786,786,1.212962963
19461,613,603,603,0.983686786
19462,687,841,841,1.224163028
19463,619,798,798,1.28917609
19464,514,962,962,1.871595331
19465,608,818,818,1.345394737
19466,619,862,862,1.392568659
19467,747,803,803,1.074966533
19468,600,754,754,1.256666667
19469,861,604,604,0.701509872
19470,529,672,672,1.270321361
19471,465,863,863,1.855913978
19472,717,660,660,0.920502092
19473,680,684,684,1.005882353
19474,684,681,681,0.995614035
19475,521,669,669,1.284069098
19476,573,502,502,0.87609075
19477,581,514,514,0.884681583
19478,593,457,457,0.770657673
19479,485,311,311,0.641237113
19480,506,500,500,0.988142292
19481,478,376,376,0.786610879
19482,524,554,554,1.057251908
19483,529,674,674,1.274102079
19484,630,548,548,0.86984127
19485,603,816,816,1.353233831
19486,475,793,793,1.669473684
19487,600,669,669,1.115
19488,650,882,882,1.356923077
19489,654,848,848,1.296636086
19490,706,930,930,1.317280453
19491,635,832,832,1.31023622
19492,650,786,786,1.209230769
19493,582,560,560,0.962199313
19494,674,722,722,1.071216617
19495,740,714,714,0.964864865
19496,615,667,667,1.084552846
19497,877,725,725,0.82668187
19498,582,731,731,1.256013746
19499,696,843,843,1.211206897
19500,597,765,765,1.281407035
19501,791,602,602,0.761061947
19502,582,500,500,0.859106529
19503,811,524,524,0.646115906
19504,654,815,815,1.24617737
19505,746,860,860,1.152815013
19506,666,741,741,1.112612613
19507,572,821,821,1.435314685
19508,979,1002,1002,1.023493361
19509,947,839,839,0.885955649
19510,753,759,759,1.007968127
19511,597,1193,1193,1.998324958
19512,622,868,868,1.395498392
19513,527,659,659,1.250474383
19514,656,983,983,1.49847561
19515,724,556,556,0.767955801
19516,696,894,894,1.284482759
19517,980,1215,1215,1.239795918
19518,761,918,918,1.20630749
19519,646,850,850,1.315789474
19520,752,994,994,1.321808511
19521,499,934,934,1.871743487
19522,634,751,751,1.184542587
19523,791,789,789,0.997471555
19524,511,906,906,1.772994129
19525,567,843,843,1.486772487
19526,745,735,735,0.986577181
19527,535,739,739,1.381308411
19528,626,772,772,1.233226837
19529,582,835,835,1.434707904
19530,468,825,825,1.762820513
19531,648,690,690,1.064814815
19532,699,815,815,1.165951359
19533,644,790,790,1.226708075
19534,506,833,833,1.646245059
19535,777,551,551,0.709137709
19536,498,746,746,1.497991968
19537,513,1062,1062,2.070175439
19538,497,881,881,1.772635815
19539,480,395,395,0.822916667
19540,639,770,770,1.205007825
19541,480,806,806,1.679166667
19542,780,688,688,0.882051282
19543,610,720,720,1.180327869
19544,654,671,671,1.025993884
19545,622,638,638,1.025723473
19546,568,685,685,1.205985915
19547,631,556,556,0.881141046
19548,674,885,885,1.31305638
19549,602,528,528,0.877076412
19550,629,720,720,1.144674086
19551,642,815,815,1.269470405
19552,672,699,699,1.040178571
19553,686,630,630,0.918367347
19554,734,608,608,0.828337875
19555,554,539,539,0.972924188
19556,733,629,629,0.858117326
19557,782,583,583,0.745524297
19558,667,644,644,0.965517241
19559,528,686,686,1.299242424
19560,840,586,586,0.697619048
19561,540,669,669,1.238888889
19562,621,599,599,0.964573269
19563,637,491,491,0.770800628
19564,558,493,493,0.883512545
19565,530,476,476,0.898113208
19566,669,401,401,0.599402093
19567,619,720,720,1.163166397
19568,701,611,611,0.871611983
19569,470,655,655,1.393617021
19570,710,556,556,0.783098592
19571,672,541,541,0.805059524
19572,658,709,709,1.077507599
19573,614,556,556,0.905537459
19574,874,854,854,0.977116705
19575,657,601,601,0.914764079
19576,610,761,761,1.247540984
19577,529,590,590,1.115311909
19578,628,688,688,1.095541401
19579,700,616,616,0.88
19580,774,687,687,0.887596899
19581,865,630,630,0.728323699
19582,655,802,802,1.224427481
19583,583,914,914,1.567753002
19584,544,707,707,1.299632353
19585,604,877,877,1.451986755
19586,596,816,816,1.369127517
19587,517,621,621,1.201160542
19588,772,675,675,0.874352332
19589,617,699,699,1.132901135
19590,611,744,744,1.217675941
19591,793,686,686,0.865069357
19592,640,791,791,1.2359375
19593,638,613,613,0.960815047
19594,793,582,582,0.733921816
19595,663,721,721,1.087481146
19596,693,758,758,1.093795094
19597,602,802,802,1.332225914
19598,619,821,821,1.326332795
19599,610,827,827,1.355737705
19600,644,827,827,1.284161491
19601,550,774,774,1.407272727
19602,646,808,808,1.250773994
19603,487,754,754,1.54825462
19604,625,898,898,1.4368
19605,618,768,768,1.242718447
19606,523,908,908,1.736137667
19607,650,982,982,1.510769231
19608,521,798,798,1.531669866
19609,616,916,916,1.487012987
19610,676,828,828,1.224852071
19611,662,958,958,1.447129909
19612,623,705,705,1.131621188
19613,613,796,796,1.298531811
19614,628,789,789,1.256369427
19615,488,735,735,1.506147541
19616,659,860,860,1.305007587
19617,488,676,676,1.385245902
19618,662,719,719,1.086102719
19619,602,824,824,1.368770764
19620,626,769,769,1.228434505
19621,565,827,827,1.463716814
19622,651,874,874,1.342549923
19623,700,712,712,1.017142857
19624,655,728,728,1.111450382
19625,605,615,615,1.016528926
19626,632,634,634,1.003164557
19627,626,838,838,1.338658147
19628,649,826,826,1.272727273
19629,634,836,836,1.318611987
19630,593,652,652,1.099494098
19631,688,377,377,0.547965116
19632,534,607,607,1.13670412
19633,565,643,643,1.138053097
19634,606,762,762,1.257425743
19635,649,808,808,1.244992296
19636,968,1014,1014,1.047520661
19637,663,775,775,1.16892911
19638,758,686,686,0.905013193
19639,660,785,785,1.189393939
19640,587,861,861,1.466780239
19641,633,887,887,1.401263823
19642,780,849,849,1.088461538
19643,770,775,775,1.006493506
19644,659,489,489,0.742033384
19645,618,850,850,1.375404531
19646,621,798,798,1.285024155
19647,714,912,912,1.277310924
19648,515,693,693,1.345631068
19649,644,848,848,1.316770186
19650,695,594,594,0.854676259
19651,640,780,780,1.21875
19652,624,675,675,1.081730769
19653,499,804,804,1.611222445
19654,507,749,749,1.477317554
19655,611,685,685,1.12111293
19656,619,779,779,1.258481422
19657,590,723,723,1.225423729
19658,637,640,640,1.004709576
19659,660,648,648,0.981818182
19660,990,762,762,0.76969697
19661,959,687,687,0.71637122
19662,522,583,583,1.116858238
19663,594,688,688,1.158249158
19664,630,753,753,1.195238095
19665,570,578,578,1.014035088
19666,649,854,854,1.31587057
19667,594,814,814,1.37037037
19668,551,729,729,1.323049002
19669,632,814,814,1.287974684
19670,505,703,703,1.392079208
19671,674,687,687,1.019287834
19672,512,798,798,1.55859375
19673,517,455,455,0.880077369
19674,713,769,769,1.078541374
19675,754,726,726,0.962864721
19676,594,790,790,1.32996633
19677,604,854,854,1.413907285
19678,603,779,779,1.291873964
19679,681,405,405,0.594713656
19680,609,883,883,1.449917898
19681,765,959,959,1.253594771
19682,590,904,904,1.53220339
19683,712,818,818,1.148876404
19684,922,958,958,1.039045553
19685,882,761,761,0.862811791
19686,719,476,476,0.662030598
